a,b,c,d,stairsum,len
16,13,14,15,54,27
16,13,15,14,54,54
17,12,2,27,54,3.6
17,12,3,26,54,3.8571428571
17,12,4,25,54,4.1538461538
17,12,5,24,54,4.5
17,12,6,23,54,4.9090909091
17,12,7,22,54,5.4
17,12,8,21,54,6
17,12,9,20,54,6.75
17,12,10,19,54,7.7142857143
17,12,11,18,54,9
17,12,12,17,54,10.8
17,12,13,16,54,13.5
17,12,14,15,54,18
17,12,15,14,54,27
17,12,16,13,54,54
18,11,2,27,54,3.375
18,11,3,26,54,3.6
18,11,4,25,54,3.8571428571
18,11,5,24,54,4.1538461538
18,11,6,23,54,4.5
18,11,7,22,54,4.9090909091
18,11,8,21,54,5.4
18,11,9,20,54,6
18,11,10,19,54,6.75
18,11,11,18,54,7.7142857143
18,11,12,17,54,9
18,11,13,16,54,10.8
18,11,14,15,54,13.5
18,11,15,14,54,18
18,11,16,13,54,27
18,11,17,12,54,54
19,10,2,27,54,3.1764705882
19,10,3,26,54,3.375
19,10,4,25,54,3.6
19,10,5,24,54,3.8571428571
19,10,6,23,54,4.1538461538
19,10,7,22,54,4.5
19,10,8,21,54,4.9090909091
19,10,9,20,54,5.4
19,10,10,19,54,6
19,10,11,18,54,6.75
19,10,12,17,54,7.7142857143
19,10,13,16,54,9
19,10,14,15,54,10.8
19,10,15,14,54,13.5
19,10,16,13,54,18
19,10,17,12,54,27
19,10,18,11,54,54
20,9,2,27,54,3
20,9,3,26,54,3.1764705882
20,9,4,25,54,3.375
20,9,5,24,54,3.6
20,9,6,23,54,3.8571428571
20,9,7,22,54,4.1538461538
20,9,8,21,54,4.5
20,9,9,20,54,4.9090909091
20,9,10,19,54,5.4
20,9,11,18,54,6
20,9,12,17,54,6.75
20,9,13,16,54,7.7142857143
20,9,14,15,54,9
20,9,15,14,54,10.8
20,9,16,13,54,13.5
20,9,17,12,54,18
20,9,18,11,54,27
20,9,19,10,54,54
21,8,2,27,54,2.8421052632
21,8,3,26,54,3
21,8,4,25,54,3.1764705882
21,8,5,24,54,3.375
21,8,6,23,54,3.6
21,8,7,22,54,3.8571428571
21,8,8,21,54,4.1538461538
21,8,9,20,54,4.5
21,8,10,19,54,4.9090909091
21,8,11,18,54,5.4
21,8,12,17,54,6
21,8,13,16,54,6.75
21,8,14,15,54,7.7142857143
21,8,15,14,54,9
21,8,16,13,54,10.8
21,8,17,12,54,13.5
21,8,18,11,54,18
21,8,19,10,54,27
21,8,20,9,54,54
22,7,2,27,54,2.7
22,7,3,26,54,2.8421052632
22,7,4,25,54,3
22,7,5,24,54,3.1764705882
22,7,6,23,54,3.375
22,7,7,22,54,3.6
22,7,8,21,54,3.8571428571
22,7,9,20,54,4.1538461538
22,7,10,19,54,4.5
22,7,11,18,54,4.9090909091
22,7,12,17,54,5.4
22,7,13,16,54,6
22,7,14,15,54,6.75
22,7,15,14,54,7.7142857143
22,7,16,13,54,9
22,7,17,12,54,10.8
22,7,18,11,54,13.5
22,7,19,10,54,18
22,7,20,9,54,27
22,7,21,8,54,54
23,6,2,27,54,2.5714285714
23,6,3,26,54,2.7
23,6,4,25,54,2.8421052632
23,6,5,24,54,3
23,6,6,23,54,3.1764705882
23,6,7,22,54,3.375
23,6,8,21,54,3.6
23,6,9,20,54,3.8571428571
23,6,10,19,54,4.1538461538
23,6,11,18,54,4.5
23,6,12,17,54,4.9090909091
23,6,13,16,54,5.4
23,6,14,15,54,6
23,6,15,14,54,6.75
23,6,16,13,54,7.7142857143
23,6,17,12,54,9
23,6,18,11,54,10.8
23,6,19,10,54,13.5
23,6,20,9,54,18
23,6,21,8,54,27
23,6,22,7,54,54
24,5,2,27,54,2.4545454545
24,5,3,26,54,2.5714285714
24,5,4,25,54,2.7
24,5,5,24,54,2.8421052632
24,5,6,23,54,3
24,5,7,22,54,3.1764705882
24,5,8,21,54,3.375
24,5,9,20,54,3.6
24,5,10,19,54,3.8571428571
24,5,11,18,54,4.1538461538
24,5,12,17,54,4.5
24,5,13,16,54,4.9090909091
24,5,14,15,54,5.4
24,5,15,14,54,6
24,5,16,13,54,6.75
24,5,17,12,54,7.7142857143
24,5,18,11,54,9
24,5,19,10,54,10.8
24,5,20,9,54,13.5
24,5,21,8,54,18
24,5,22,7,54,27
24,5,23,6,54,54
25,4,2,27,54,2.347826087
25,4,3,26,54,2.4545454545
25,4,4,25,54,2.5714285714
25,4,5,24,54,2.7
25,4,6,23,54,2.8421052632
25,4,7,22,54,3
25,4,8,21,54,3.1764705882
25,4,9,20,54,3.375
25,4,10,19,54,3.6
25,4,11,18,54,3.8571428571
25,4,12,17,54,4.1538461538
25,4,13,16,54,4.5
25,4,14,15,54,4.9090909091
25,4,15,14,54,5.4
25,4,16,13,54,6
25,4,17,12,54,6.75
25,4,18,11,54,7.7142857143
25,4,19,10,54,9
25,4,20,9,54,10.8
25,4,21,8,54,13.5
25,4,22,7,54,18
25,4,23,6,54,27
25,4,24,5,54,54
26,3,2,27,54,2.25
26,3,3,26,54,2.347826087
26,3,4,25,54,2.4545454545
26,3,5,24,54,2.5714285714
26,3,6,23,54,2.7
26,3,7,22,54,2.8421052632
26,3,8,21,54,3
26,3,9,20,54,3.1764705882
26,3,10,19,54,3.375
26,3,11,18,54,3.6
26,3,12,17,54,3.8571428571
26,3,13,16,54,4.1538461538
26,3,14,15,54,4.5
26,3,15,14,54,4.9090909091
26,3,16,13,54,5.4
26,3,17,12,54,6
26,3,18,11,54,6.75
26,3,19,10,54,7.7142857143
26,3,20,9,54,9
26,3,21,8,54,10.8
26,3,22,7,54,13.5
26,3,23,6,54,18
26,3,24,5,54,27
26,3,25,4,54,54
27,2,2,27,54,2.16
27,2,3,26,54,2.25
27,2,4,25,54,2.347826087
27,2,5,24,54,2.4545454545
27,2,6,23,54,2.5714285714
27,2,7,22,54,2.7
27,2,8,21,54,2.8421052632
27,2,9,20,54,3
27,2,10,19,54,3.1764705882
27,2,11,18,54,3.375
27,2,12,17,54,3.6
27,2,13,16,54,3.8571428571
27,2,14,15,54,4.1538461538
27,2,15,14,54,4.5
27,2,16,13,54,4.9090909091
27,2,17,12,54,5.4
27,2,18,11,54,6
27,2,19,10,54,6.75
27,2,20,9,54,7.7142857143
27,2,21,8,54,9
27,2,22,7,54,10.8
27,2,23,6,54,13.5
27,2,24,5,54,18
27,2,25,4,54,27
27,2,26,3,54,54
3,27,2,28,56,56
4,26,2,28,56,28
4,26,3,27,56,56
5,25,2,28,56,18.6666666667
5,25,3,27,56,28
5,25,4,26,56,56
6,24,2,28,56,14
6,24,3,27,56,18.6666666667
6,24,4,26,56,28
6,24,5,25,56,56
7,23,2,28,56,11.2
7,23,3,27,56,14
7,23,4,26,56,18.6666666667
7,23,5,25,56,28
7,23,6,24,56,56
8,22,2,28,56,9.3333333333
8,22,3,27,56,11.2
8,22,4,26,56,14
8,22,5,25,56,18.6666666667
8,22,6,24,56,28
8,22,7,23,56,56
9,21,2,28,56,8
9,21,3,27,56,9.3333333333
9,21,4,26,56,11.2
9,21,5,25,56,14
9,21,6,24,56,18.6666666667
9,21,7,23,56,28
9,21,8,22,56,56
10,20,2,28,56,7
10,20,3,27,56,8
10,20,4,26,56,9.3333333333
10,20,5,25,56,11.2
10,20,6,24,56,14
10,20,7,23,56,18.6666666667
10,20,8,22,56,28
10,20,9,21,56,56
11,19,2,28,56,6.2222222222
11,19,3,27,56,7
11,19,4,26,56,8
11,19,5,25,56,9.3333333333
11,19,6,24,56,11.2
11,19,7,23,56,14
11,19,8,22,56,18.6666666667
11,19,9,21,56,28
11,19,10,20,56,56
12,18,2,28,56,5.6
12,18,3,27,56,6.2222222222
12,18,4,26,56,7
12,18,5,25,56,8
12,18,6,24,56,9.3333333333
12,18,7,23,56,11.2
12,18,8,22,56,14
12,18,9,21,56,18.6666666667
12,18,10,20,56,28
12,18,11,19,56,56
13,17,2,28,56,5.0909090909
13,17,3,27,56,5.6
13,17,4,26,56,6.2222222222
13,17,5,25,56,7
13,17,6,24,56,8
13,17,7,23,56,9.3333333333
13,17,8,22,56,11.2
13,17,9,21,56,14
13,17,10,20,56,18.6666666667
13,17,11,19,56,28
13,17,12,18,56,56
14,16,2,28,56,4.6666666667
14,16,3,27,56,5.0909090909
14,16,4,26,56,5.6
14,16,5,25,56,6.2222222222
14,16,6,24,56,7
14,16,7,23,56,8
14,16,8,22,56,9.3333333333
14,16,9,21,56,11.2
14,16,10,20,56,14
14,16,11,19,56,18.6666666667
14,16,12,18,56,28
14,16,13,17,56,56
15,15,2,28,56,4.3076923077
15,15,3,27,56,4.6666666667
15,15,4,26,56,5.0909090909
15,15,5,25,56,5.6
15,15,6,24,56,6.2222222222
15,15,7,23,56,7
15,15,8,22,56,8
15,15,9,21,56,9.3333333333
15,15,10,20,56,11.2
15,15,11,19,56,14
15,15,12,18,56,18.6666666667
15,15,13,17,56,28
15,15,14,16,56,56
16,14,2,28,56,4
16,14,3,27,56,4.3076923077
16,14,4,26,56,4.6666666667
16,14,5,25,56,5.0909090909
16,14,6,24,56,5.6
16,14,7,23,56,6.2222222222
16,14,8,22,56,7
16,14,9,21,56,8
16,14,10,20,56,9.3333333333
16,14,11,19,56,11.2
16,14,12,18,56,14
16,14,13,17,56,18.6666666667
16,14,14,16,56,28
16,14,15,15,56,56
17,13,2,28,56,3.7333333333
17,13,3,27,56,4
17,13,4,26,56,4.3076923077
17,13,5,25,56,4.6666666667
17,13,6,24,56,5.0909090909
17,13,7,23,56,5.6
17,13,8,22,56,6.2222222222
17,13,9,21,56,7
17,13,10,20,56,8
17,13,11,19,56,9.3333333333
17,13,12,18,56,11.2
17,13,13,17,56,14
17,13,14,16,56,18.6666666667
17,13,15,15,56,28
17,13,16,14,56,56
18,12,2,28,56,3.5
18,12,3,27,56,3.7333333333
18,12,4,26,56,4
18,12,5,25,56,4.3076923077
18,12,6,24,56,4.6666666667
18,12,7,23,56,5.0909090909
18,12,8,22,56,5.6
18,12,9,21,56,6.2222222222
18,12,10,20,56,7
18,12,11,19,56,8
18,12,12,18,56,9.3333333333
18,12,13,17,56,11.2
18,12,14,16,56,14
18,12,15,15,56,18.6666666667
18,12,16,14,56,28
18,12,17,13,56,56
19,11,2,28,56,3.2941176471
19,11,3,27,56,3.5
19,11,4,26,56,3.7333333333
19,11,5,25,56,4
19,11,6,24,56,4.3076923077
19,11,7,23,56,4.6666666667
19,11,8,22,56,5.0909090909
19,11,9,21,56,5.6
19,11,10,20,56,6.2222222222
19,11,11,19,56,7
19,11,12,18,56,8
19,11,13,17,56,9.3333333333
19,11,14,16,56,11.2
19,11,15,15,56,14
19,11,16,14,56,18.6666666667
19,11,17,13,56,28
19,11,18,12,56,56
20,10,2,28,56,3.1111111111
20,10,3,27,56,3.2941176471
20,10,4,26,56,3.5
20,10,5,25,56,3.7333333333
20,10,6,24,56,4
20,10,7,23,56,4.3076923077
20,10,8,22,56,4.6666666667
20,10,9,21,56,5.0909090909
20,10,10,20,56,5.6
20,10,11,19,56,6.2222222222
20,10,12,18,56,7
20,10,13,17,56,8
20,10,14,16,56,9.3333333333
20,10,15,15,56,11.2
20,10,16,14,56,14
20,10,17,13,56,18.6666666667
20,10,18,12,56,28
20,10,19,11,56,56
21,9,2,28,56,2.9473684211
21,9,3,27,56,3.1111111111
21,9,4,26,56,3.2941176471
21,9,5,25,56,3.5
21,9,6,24,56,3.7333333333
21,9,7,23,56,4
21,9,8,22,56,4.3076923077
21,9,9,21,56,4.6666666667
21,9,10,20,56,5.0909090909
21,9,11,19,56,5.6
21,9,12,18,56,6.2222222222
21,9,13,17,56,7
21,9,14,16,56,8
21,9,15,15,56,9.3333333333
21,9,16,14,56,11.2
21,9,17,13,56,14
21,9,18,12,56,18.6666666667
21,9,19,11,56,28
21,9,20,10,56,56
22,8,2,28,56,2.8
22,8,3,27,56,2.9473684211
22,8,4,26,56,3.1111111111
22,8,5,25,56,3.2941176471
22,8,6,24,56,3.5
22,8,7,23,56,3.7333333333
22,8,8,22,56,4
22,8,9,21,56,4.3076923077
22,8,10,20,56,4.6666666667
22,8,11,19,56,5.0909090909
22,8,12,18,56,5.6
22,8,13,17,56,6.2222222222
22,8,14,16,56,7
22,8,15,15,56,8
22,8,16,14,56,9.3333333333
22,8,17,13,56,11.2
22,8,18,12,56,14
22,8,19,11,56,18.6666666667
22,8,20,10,56,28
22,8,21,9,56,56
23,7,2,28,56,2.6666666667
23,7,3,27,56,2.8
23,7,4,26,56,2.9473684211
23,7,5,25,56,3.1111111111
23,7,6,24,56,3.2941176471
23,7,7,23,56,3.5
23,7,8,22,56,3.7333333333
23,7,9,21,56,4
23,7,10,20,56,4.3076923077
23,7,11,19,56,4.6666666667
23,7,12,18,56,5.0909090909
23,7,13,17,56,5.6
23,7,14,16,56,6.2222222222
23,7,15,15,56,7
23,7,16,14,56,8
23,7,17,13,56,9.3333333333
23,7,18,12,56,11.2
23,7,19,11,56,14
23,7,20,10,56,18.6666666667
23,7,21,9,56,28
23,7,22,8,56,56
24,6,2,28,56,2.5454545455
24,6,3,27,56,2.6666666667
24,6,4,26,56,2.8
24,6,5,25,56,2.9473684211
24,6,6,24,56,3.1111111111
24,6,7,23,56,3.2941176471
24,6,8,22,56,3.5
24,6,9,21,56,3.7333333333
24,6,10,20,56,4
24,6,11,19,56,4.3076923077
24,6,12,18,56,4.6666666667
24,6,13,17,56,5.0909090909
24,6,14,16,56,5.6
24,6,15,15,56,6.2222222222
24,6,16,14,56,7
24,6,17,13,56,8
24,6,18,12,56,9.3333333333
24,6,19,11,56,11.2
24,6,20,10,56,14
24,6,21,9,56,18.6666666667
24,6,22,8,56,28
24,6,23,7,56,56
25,5,2,28,56,2.4347826087
25,5,3,27,56,2.5454545455
25,5,4,26,56,2.6666666667
25,5,5,25,56,2.8
25,5,6,24,56,2.9473684211
25,5,7,23,56,3.1111111111
25,5,8,22,56,3.2941176471
25,5,9,21,56,3.5
25,5,10,20,56,3.7333333333
25,5,11,19,56,4
25,5,12,18,56,4.3076923077
25,5,13,17,56,4.6666666667
25,5,14,16,56,5.0909090909
25,5,15,15,56,5.6
25,5,16,14,56,6.2222222222
25,5,17,13,56,7
25,5,18,12,56,8
25,5,19,11,56,9.3333333333
25,5,20,10,56,11.2
25,5,21,9,56,14
25,5,22,8,56,18.6666666667
25,5,23,7,56,28
25,5,24,6,56,56
26,4,2,28,56,2.3333333333
26,4,3,27,56,2.4347826087
26,4,4,26,56,2.5454545455
26,4,5,25,56,2.6666666667
26,4,6,24,56,2.8
26,4,7,23,56,2.9473684211
26,4,8,22,56,3.1111111111
26,4,9,21,56,3.2941176471
26,4,10,20,56,3.5
26,4,11,19,56,3.7333333333
26,4,12,18,56,4
26,4,13,17,56,4.3076923077
26,4,14,16,56,4.6666666667
26,4,15,15,56,5.0909090909
26,4,16,14,56,5.6
26,4,17,13,56,6.2222222222
26,4,18,12,56,7
26,4,19,11,56,8
26,4,20,10,56,9.3333333333
26,4,21,9,56,11.2
26,4,22,8,56,14
26,4,23,7,56,18.6666666667
26,4,24,6,56,28
26,4,25,5,56,56
27,3,2,28,56,2.24
27,3,3,27,56,2.3333333333
27,3,4,26,56,2.4347826087
27,3,5,25,56,2.5454545455
27,3,6,24,56,2.6666666667
27,3,7,23,56,2.8
27,3,8,22,56,2.9473684211
27,3,9,21,56,3.1111111111
27,3,10,20,56,3.2941176471
27,3,11,19,56,3.5
27,3,12,18,56,3.7333333333
27,3,13,17,56,4
27,3,14,16,56,4.3076923077
27,3,15,15,56,4.6666666667
27,3,16,14,56,5.0909090909
27,3,17,13,56,5.6
27,3,18,12,56,6.2222222222
27,3,19,11,56,7
27,3,20,10,56,8
27,3,21,9,56,9.3333333333
27,3,22,8,56,11.2
27,3,23,7,56,14
27,3,24,6,56,18.6666666667
27,3,25,5,56,28
27,3,26,4,56,56
28,2,2,28,56,2.1538461538
28,2,3,27,56,2.24
28,2,4,26,56,2.3333333333
28,2,5,25,56,2.4347826087
28,2,6,24,56,2.5454545455
28,2,7,23,56,2.6666666667
28,2,8,22,56,2.8
28,2,9,21,56,2.9473684211
28,2,10,20,56,3.1111111111
28,2,11,19,56,3.2941176471
28,2,12,18,56,3.5
28,2,13,17,56,3.7333333333
28,2,14,16,56,4
28,2,15,15,56,4.3076923077
28,2,16,14,56,4.6666666667
28,2,17,13,56,5.0909090909
28,2,18,12,56,5.6
28,2,19,11,56,6.2222222222
28,2,20,10,56,7
28,2,21,9,56,8
28,2,22,8,56,9.3333333333
28,2,23,7,56,11.2
28,2,24,6,56,14
28,2,25,5,56,18.6666666667
28,2,26,4,56,28
28,2,27,3,56,56
3,28,2,29,58,58
4,27,2,29,58,29
4,27,3,28,58,58
5,26,2,29,58,19.3333333333
5,26,3,28,58,29
5,26,4,27,58,58
6,25,2,29,58,14.5
6,25,3,28,58,19.3333333333
6,25,4,27,58,29
6,25,5,26,58,58
7,24,2,29,58,11.6
7,24,3,28,58,14.5
7,24,4,27,58,19.3333333333
7,24,5,26,58,29
7,24,6,25,58,58
8,23,2,29,58,9.6666666667
8,23,3,28,58,11.6
8,23,4,27,58,14.5
8,23,5,26,58,19.3333333333
8,23,6,25,58,29
8,23,7,24,58,58
9,22,2,29,58,8.2857142857
9,22,3,28,58,9.6666666667
9,22,4,27,58,11.6
9,22,5,26,58,14.5
9,22,6,25,58,19.3333333333
9,22,7,24,58,29
9,22,8,23,58,58
10,21,2,29,58,7.25
10,21,3,28,58,8.2857142857
10,21,4,27,58,9.6666666667
10,21,5,26,58,11.6
10,21,6,25,58,14.5
10,21,7,24,58,19.3333333333
10,21,8,23,58,29
10,21,9,22,58,58
11,20,2,29,58,6.4444444444
11,20,3,28,58,7.25
11,20,4,27,58,8.2857142857
11,20,5,26,58,9.6666666667
11,20,6,25,58,11.6
11,20,7,24,58,14.5
11,20,8,23,58,19.3333333333
11,20,9,22,58,29
11,20,10,21,58,58
12,19,2,29,58,5.8
12,19,3,28,58,6.4444444444
12,19,4,27,58,7.25
12,19,5,26,58,8.2857142857
12,19,6,25,58,9.6666666667
12,19,7,24,58,11.6
12,19,8,23,58,14.5
12,19,9,22,58,19.3333333333
12,19,10,21,58,29
12,19,11,20,58,58
13,18,2,29,58,5.2727272727
13,18,3,28,58,5.8
13,18,4,27,58,6.4444444444
13,18,5,26,58,7.25
13,18,6,25,58,8.2857142857
13,18,7,24,58,9.6666666667
13,18,8,23,58,11.6
13,18,9,22,58,14.5
13,18,10,21,58,19.3333333333
13,18,11,20,58,29
13,18,12,19,58,58
14,17,2,29,58,4.8333333333
14,17,3,28,58,5.2727272727
14,17,4,27,58,5.8
14,17,5,26,58,6.4444444444
14,17,6,25,58,7.25
14,17,7,24,58,8.2857142857
14,17,8,23,58,9.6666666667
14,17,9,22,58,11.6
14,17,10,21,58,14.5
14,17,11,20,58,19.3333333333
14,17,12,19,58,29
14,17,13,18,58,58
15,16,2,29,58,4.4615384615
15,16,3,28,58,4.8333333333
15,16,4,27,58,5.2727272727
15,16,5,26,58,5.8
15,16,6,25,58,6.4444444444
15,16,7,24,58,7.25
15,16,8,23,58,8.2857142857
15,16,9,22,58,9.6666666667
15,16,10,21,58,11.6
15,16,11,20,58,14.5
15,16,12,19,58,19.3333333333
15,16,13,18,58,29
15,16,14,17,58,58
16,15,2,29,58,4.1428571429
16,15,3,28,58,4.4615384615
16,15,4,27,58,4.8333333333
16,15,5,26,58,5.2727272727
16,15,6,25,58,5.8
16,15,7,24,58,6.4444444444
16,15,8,23,58,7.25
16,15,9,22,58,8.2857142857
16,15,10,21,58,9.6666666667
16,15,11,20,58,11.6
16,15,12,19,58,14.5
16,15,13,18,58,19.3333333333
16,15,14,17,58,29
16,15,15,16,58,58
17,14,2,29,58,3.8666666667
17,14,3,28,58,4.1428571429
17,14,4,27,58,4.4615384615
17,14,5,26,58,4.8333333333
17,14,6,25,58,5.2727272727
17,14,7,24,58,5.8
17,14,8,23,58,6.4444444444
17,14,9,22,58,7.25
17,14,10,21,58,8.2857142857
17,14,11,20,58,9.6666666667
17,14,12,19,58,11.6
17,14,13,18,58,14.5
17,14,14,17,58,19.3333333333
17,14,15,16,58,29
17,14,16,15,58,58
18,13,2,29,58,3.625
18,13,3,28,58,3.8666666667
18,13,4,27,58,4.1428571429
18,13,5,26,58,4.4615384615
18,13,6,25,58,4.8333333333
18,13,7,24,58,5.2727272727
18,13,8,23,58,5.8
18,13,9,22,58,6.4444444444
18,13,10,21,58,7.25
18,13,11,20,58,8.2857142857
18,13,12,19,58,9.6666666667
18,13,13,18,58,11.6
18,13,14,17,58,14.5
18,13,15,16,58,19.3333333333
18,13,16,15,58,29
18,13,17,14,58,58
19,12,2,29,58,3.4117647059
19,12,3,28,58,3.625
19,12,4,27,58,3.8666666667
19,12,5,26,58,4.1428571429
19,12,6,25,58,4.4615384615
19,12,7,24,58,4.8333333333
19,12,8,23,58,5.2727272727
19,12,9,22,58,5.8
19,12,10,21,58,6.4444444444
19,12,11,20,58,7.25
19,12,12,19,58,8.2857142857
19,12,13,18,58,9.6666666667
19,12,14,17,58,11.6
19,12,15,16,58,14.5
19,12,16,15,58,19.3333333333
19,12,17,14,58,29
19,12,18,13,58,58
20,11,2,29,58,3.2222222222
20,11,3,28,58,3.4117647059
20,11,4,27,58,3.625
20,11,5,26,58,3.8666666667
20,11,6,25,58,4.1428571429
20,11,7,24,58,4.4615384615
20,11,8,23,58,4.8333333333
20,11,9,22,58,5.2727272727
20,11,10,21,58,5.8
20,11,11,20,58,6.4444444444
20,11,12,19,58,7.25
20,11,13,18,58,8.2857142857
20,11,14,17,58,9.6666666667
20,11,15,16,58,11.6
20,11,16,15,58,14.5
20,11,17,14,58,19.3333333333
20,11,18,13,58,29
20,11,19,12,58,58
21,10,2,29,58,3.0526315789
21,10,3,28,58,3.2222222222
21,10,4,27,58,3.4117647059
21,10,5,26,58,3.625
21,10,6,25,58,3.8666666667
21,10,7,24,58,4.1428571429
21,10,8,23,58,4.4615384615
21,10,9,22,58,4.8333333333
21,10,10,21,58,5.2727272727
21,10,11,20,58,5.8
21,10,12,19,58,6.4444444444
21,10,13,18,58,7.25
21,10,14,17,58,8.2857142857
21,10,15,16,58,9.6666666667
21,10,16,15,58,11.6
21,10,17,14,58,14.5
21,10,18,13,58,19.3333333333
21,10,19,12,58,29
21,10,20,11,58,58
22,9,2,29,58,2.9
22,9,3,28,58,3.0526315789
22,9,4,27,58,3.2222222222
22,9,5,26,58,3.4117647059
22,9,6,25,58,3.625
22,9,7,24,58,3.8666666667
22,9,8,23,58,4.1428571429
22,9,9,22,58,4.4615384615
22,9,10,21,58,4.8333333333
22,9,11,20,58,5.2727272727
22,9,12,19,58,5.8
22,9,13,18,58,6.4444444444
22,9,14,17,58,7.25
22,9,15,16,58,8.2857142857
22,9,16,15,58,9.6666666667
22,9,17,14,58,11.6
22,9,18,13,58,14.5
22,9,19,12,58,19.3333333333
22,9,20,11,58,29
22,9,21,10,58,58
23,8,2,29,58,2.7619047619
23,8,3,28,58,2.9
23,8,4,27,58,3.0526315789
23,8,5,26,58,3.2222222222
23,8,6,25,58,3.4117647059
23,8,7,24,58,3.625
23,8,8,23,58,3.8666666667
23,8,9,22,58,4.1428571429
23,8,10,21,58,4.4615384615
23,8,11,20,58,4.8333333333
23,8,12,19,58,5.2727272727
23,8,13,18,58,5.8
23,8,14,17,58,6.4444444444
23,8,15,16,58,7.25
23,8,16,15,58,8.2857142857
23,8,17,14,58,9.6666666667
23,8,18,13,58,11.6
23,8,19,12,58,14.5
23,8,20,11,58,19.3333333333
23,8,21,10,58,29
23,8,22,9,58,58
24,7,2,29,58,2.6363636364
24,7,3,28,58,2.7619047619
24,7,4,27,58,2.9
24,7,5,26,58,3.0526315789
24,7,6,25,58,3.2222222222
24,7,7,24,58,3.4117647059
24,7,8,23,58,3.625
24,7,9,22,58,3.8666666667
24,7,10,21,58,4.1428571429
24,7,11,20,58,4.4615384615
24,7,12,19,58,4.8333333333
24,7,13,18,58,5.2727272727
24,7,14,17,58,5.8
24,7,15,16,58,6.4444444444
24,7,16,15,58,7.25
24,7,17,14,58,8.2857142857
24,7,18,13,58,9.6666666667
24,7,19,12,58,11.6
24,7,20,11,58,14.5
24,7,21,10,58,19.3333333333
24,7,22,9,58,29
24,7,23,8,58,58
25,6,2,29,58,2.5217391304
25,6,3,28,58,2.6363636364
25,6,4,27,58,2.7619047619
25,6,5,26,58,2.9
25,6,6,25,58,3.0526315789
25,6,7,24,58,3.2222222222
25,6,8,23,58,3.4117647059
25,6,9,22,58,3.625
25,6,10,21,58,3.8666666667
25,6,11,20,58,4.1428571429
25,6,12,19,58,4.4615384615
25,6,13,18,58,4.8333333333
25,6,14,17,58,5.2727272727
25,6,15,16,58,5.8
25,6,16,15,58,6.4444444444
25,6,17,14,58,7.25
25,6,18,13,58,8.2857142857
25,6,19,12,58,9.6666666667
25,6,20,11,58,11.6
25,6,21,10,58,14.5
25,6,22,9,58,19.3333333333
25,6,23,8,58,29
25,6,24,7,58,58
26,5,2,29,58,2.4166666667
26,5,3,28,58,2.5217391304
26,5,4,27,58,2.6363636364
26,5,5,26,58,2.7619047619
26,5,6,25,58,2.9
26,5,7,24,58,3.0526315789
26,5,8,23,58,3.2222222222
26,5,9,22,58,3.4117647059
26,5,10,21,58,3.625
26,5,11,20,58,3.8666666667
26,5,12,19,58,4.1428571429
26,5,13,18,58,4.4615384615
26,5,14,17,58,4.8333333333
26,5,15,16,58,5.2727272727
26,5,16,15,58,5.8
26,5,17,14,58,6.4444444444
26,5,18,13,58,7.25
26,5,19,12,58,8.2857142857
26,5,20,11,58,9.6666666667
26,5,21,10,58,11.6
26,5,22,9,58,14.5
26,5,23,8,58,19.3333333333
26,5,24,7,58,29
26,5,25,6,58,58
27,4,2,29,58,2.32
27,4,3,28,58,2.4166666667
27,4,4,27,58,2.5217391304
27,4,5,26,58,2.6363636364
27,4,6,25,58,2.7619047619
27,4,7,24,58,2.9
27,4,8,23,58,3.0526315789
27,4,9,22,58,3.2222222222
27,4,10,21,58,3.4117647059
27,4,11,20,58,3.625
27,4,12,19,58,3.8666666667
27,4,13,18,58,4.1428571429
27,4,14,17,58,4.4615384615
27,4,15,16,58,4.8333333333
27,4,16,15,58,5.2727272727
27,4,17,14,58,5.8
27,4,18,13,58,6.4444444444
27,4,19,12,58,7.25
27,4,20,11,58,8.2857142857
27,4,21,10,58,9.6666666667
27,4,22,9,58,11.6
27,4,23,8,58,14.5
27,4,24,7,58,19.3333333333
27,4,25,6,58,29
27,4,26,5,58,58
28,3,2,29,58,2.2307692308
28,3,3,28,58,2.32
28,3,4,27,58,2.4166666667
28,3,5,26,58,2.5217391304
28,3,6,25,58,2.6363636364
28,3,7,24,58,2.7619047619
28,3,8,23,58,2.9
28,3,9,22,58,3.0526315789
28,3,10,21,58,3.2222222222
28,3,11,20,58,3.4117647059
28,3,12,19,58,3.625
28,3,13,18,58,3.8666666667
28,3,14,17,58,4.1428571429
28,3,15,16,58,4.4615384615
28,3,16,15,58,4.8333333333
28,3,17,14,58,5.2727272727
28,3,18,13,58,5.8
28,3,19,12,58,6.4444444444
28,3,20,11,58,7.25
28,3,21,10,58,8.2857142857
28,3,22,9,58,9.6666666667
28,3,23,8,58,11.6
28,3,24,7,58,14.5
28,3,25,6,58,19.3333333333
28,3,26,5,58,29
28,3,27,4,58,58
29,2,2,29,58,2.1481481481
29,2,3,28,58,2.2307692308
29,2,4,27,58,2.32
29,2,5,26,58,2.4166666667
29,2,6,25,58,2.5217391304
29,2,7,24,58,2.6363636364
29,2,8,23,58,2.7619047619
29,2,9,22,58,2.9
29,2,10,21,58,3.0526315789
29,2,11,20,58,3.2222222222
29,2,12,19,58,3.4117647059
29,2,13,18,58,3.625
29,2,14,17,58,3.8666666667
